id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,41,70,32,98,256,ship,baseline,monotonic-signal
g002,lineage depth,86,44,42,25,201,ship,edge,drag-penalty
g003,partition skew,112,33,27,49,285,ship,recovery,confidence-floor
g004,quality gap,85,65,42,52,268,ship,negative,lane-boundary
g005,schema drift,31,14,9,58,130,watch,baseline,monotonic-signal
g006,lineage depth,95,61,15,23,305,ship,edge,drag-penalty
g007,partition skew,43,52,20,53,203,ship,recovery,confidence-floor
g008,quality gap,64,50,45,29,167,watch,negative,lane-boundary
g009,schema drift,78,51,38,65,247,ship,baseline,monotonic-signal
g010,lineage depth,45,54,15,44,212,ship,edge,drag-penalty
g011,partition skew,32,23,26,38,96,hold,recovery,confidence-floor
g012,quality gap,73,45,12,83,295,ship,negative,lane-boundary
g013,schema drift,97,24,13,24,240,ship,baseline,monotonic-signal
g014,lineage depth,112,51,8,85,395,ship,edge,drag-penalty
g015,partition skew,35,32,28,77,155,watch,recovery,confidence-floor
g016,quality gap,88,25,19,34,222,ship,negative,lane-boundary
g017,schema drift,30,24,37,103,137,watch,baseline,monotonic-signal
g018,lineage depth,93,26,5,56,284,ship,edge,drag-penalty
g019,partition skew,84,29,33,80,240,ship,recovery,confidence-floor
g020,quality gap,83,33,6,97,317,ship,negative,lane-boundary
g021,schema drift,86,73,36,24,270,ship,baseline,monotonic-signal
g022,lineage depth,47,25,11,48,170,watch,edge,drag-penalty
g023,partition skew,75,39,42,51,195,ship,recovery,confidence-floor
g024,quality gap,92,48,17,57,303,ship,negative,lane-boundary
g025,schema drift,104,31,27,22,238,ship,baseline,monotonic-signal
g026,lineage depth,114,14,12,52,284,ship,edge,drag-penalty
g027,partition skew,34,8,27,28,58,hold,recovery,confidence-floor
g028,quality gap,42,43,36,64,162,watch,negative,lane-boundary
g029,schema drift,93,63,42,43,271,ship,baseline,monotonic-signal
g030,lineage depth,78,75,5,37,333,ship,edge,drag-penalty
g031,partition skew,30,49,30,82,180,ship,recovery,confidence-floor
g032,quality gap,82,38,23,23,217,ship,negative,lane-boundary
g033,schema drift,39,70,42,84,218,ship,baseline,monotonic-signal
g034,lineage depth,65,19,11,76,222,ship,edge,drag-penalty
g035,partition skew,38,66,39,33,163,watch,recovery,confidence-floor
g036,quality gap,72,57,40,102,280,ship,negative,lane-boundary
g037,schema drift,48,55,35,55,191,ship,baseline,monotonic-signal
g038,lineage depth,84,56,13,79,333,ship,edge,drag-penalty
g039,partition skew,105,59,4,96,416,ship,recovery,confidence-floor
g040,quality gap,31,28,22,23,97,hold,negative,lane-boundary
g041,schema drift,86,50,32,47,255,ship,baseline,monotonic-signal
g042,lineage depth,73,29,18,50,218,ship,edge,drag-penalty
g043,partition skew,114,56,33,56,330,ship,recovery,confidence-floor
g044,quality gap,50,37,21,21,153,watch,negative,lane-boundary
g045,schema drift,65,30,38,51,165,watch,baseline,monotonic-signal
g046,lineage depth,76,29,27,27,183,ship,edge,drag-penalty
g047,partition skew,41,31,44,63,119,hold,recovery,confidence-floor
g048,quality gap,71,34,12,42,228,ship,negative,lane-boundary
g049,schema drift,46,38,39,36,126,watch,baseline,monotonic-signal
